condition,title,content
hepatitis,Hepatitis,"Hepatitis is inflammation of the liver most commonly caused by viral infections (Hepatitis A, B, C, D, E). Hepatitis A and E are transmitted through contaminated food and water. Hepatitis B and C spread through blood contact and sexual transmission. Symptoms: fatigue, yellow discolouration of skin and eyes (jaundice), dark urine, pale stools, abdominal pain, loss of appetite, nausea, and vomiting. Hepatitis A usually resolves on its own. Hepatitis B and C can become chronic and lead to liver cirrhosis or cancer. Vaccines available for Hepatitis A and B. Antiviral treatment available for chronic Hepatitis B and C."
appendicitis,Appendicitis,"Appendicitis is inflammation of the appendix, a small finger-shaped pouch attached to the large intestine. Begins with pain around the navel that shifts to the lower right abdomen and becomes more severe. Accompanied by nausea, vomiting, fever, and loss of appetite. Pain worsens with movement and coughing. Diagnosis: physical examination, blood tests, and imaging (ultrasound or CT scan). Treatment: surgical removal of the appendix (appendectomy). Without treatment, the appendix can rupture causing life-threatening peritonitis. Red flags: sudden relief of pain (may indicate rupture) followed by spreading of pain throughout abdomen — emergency surgery required."
kidney_stones,Kidney Stones,"Kidney stones are hard deposits of minerals and salts that form in the kidneys and can affect any part of the urinary tract. Symptoms: severe pain in the back and side (flank), pain that radiates to the lower abdomen and groin, pain during urination, pink/red/brown urine, nausea, and vomiting. Small stones may pass on their own with adequate fluid intake. Larger stones may require medical intervention: shock wave lithotripsy, ureteroscopy, or surgery. Increase fluid intake (2-3 litres daily). Red flags: complete blockage of urine flow, severe infection with stone (sepsis), fever with flank pain — requires urgent care."
gallstones,Gallstones,"Gallstones are hardened deposits of digestive fluid that form in the gallbladder. Most are cholesterol stones. Many gallstones cause no symptoms. Symptomatic gallstones cause sudden intense pain in the upper right abdomen (biliary colic), often after fatty meals, radiating to right shoulder. Nausea, vomiting, and bloating are common. Cholecystitis (inflamed gallbladder) causes persistent severe pain with fever. Diagnosis: ultrasound. Treatment: laparoscopic cholecystectomy (surgical removal). Low-fat diet reduces symptoms. Red flags: jaundice (bile duct obstruction), high fever with rigors (cholangitis) — requires urgent evaluation and possible emergency surgery."
vertigo,Vertigo,"Vertigo is a sensation of spinning or movement when stationary, caused by problems in the inner ear or brain. Most common cause: Benign Paroxysmal Positional Vertigo (BPPV) — brief episodes triggered by head movements. Other causes: vestibular neuritis, Ménière's disease, vestibular migraine. Symptoms: feeling of spinning, loss of balance, nausea, vomiting, and abnormal eye movements. BPPV treated with the Epley manoeuvre — repositioning exercises. Ménière's disease managed with low-salt diet and medication. Inner ear infections may need steroids or antivirals. Red flags: sudden severe headache, double vision, weakness, difficulty walking — may indicate stroke requiring emergency evaluation."
depression,Depression,"Depression (major depressive disorder) is a mood disorder causing persistent feelings of sadness, hopelessness, and loss of interest. Symptoms: depressed mood most of the day, loss of interest in activities, fatigue, sleep disturbance (insomnia or hypersomnia), appetite changes, difficulty concentrating, feelings of worthlessness or excessive guilt, and recurrent thoughts of death or suicide. Diagnosis requires symptoms for at least 2 weeks. Treatment: psychotherapy (CBT most effective), antidepressant medications (SSRIs), and lifestyle changes (exercise, social support). Regular follow-up essential. Red flags: suicidal thoughts or plans — requires immediate mental health crisis intervention."
fungal_infection,Fungal Infection,"Fungal infections are caused by fungi and can affect the skin (tinea), nails (onychomycosis), or mucous membranes (candidiasis). Common skin infections: athlete's foot (tinea pedis), ringworm (tinea corporis), jock itch (tinea cruris). Nail infections: thickened, brittle, discoloured nails. Oral thrush (candidiasis): white patches in mouth, soreness. Treatment: topical antifungal creams (clotrimazole, miconazole) for skin and nail infections. Oral antifungals (fluconazole, terbinafine) for more extensive infections. Keep affected areas clean and dry. Change socks daily, avoid sharing personal items. Recurrent infections may indicate immune system issues."
iron_deficiency_anemia,Iron Deficiency Anemia,"Iron deficiency anemia occurs when the body lacks enough iron to produce healthy red blood cells. Symptoms include fatigue, weakness, pale skin, dizziness, and shortness of breath. It may result from poor diet, blood loss, or absorption issues."
vitamin_d_deficiency,Vitamin D Deficiency,"Vitamin D deficiency occurs when the body does not have enough vitamin D, leading to weak bones, fatigue, muscle pain, and frequent infections. It is commonly caused by lack of sunlight exposure or poor diet."
otitis_media,Ear Infection (Otitis Media),"Otitis media is a common ear infection, especially in children, causing ear pain, fever, irritability, and hearing difficulty. It is usually caused by bacterial or viral infections."
vitamin_d_deficiency,Vitamin D Deficiency,"Vitamin D deficiency causes weak bones fatigue and muscle pain due to low vitamin D levels."
dehydration,Dehydration,"Dehydration occurs when the body loses more fluids than it takes in, leading to thirst, dizziness, fatigue, dry mouth, and reduced urine output. Severe cases may cause confusion and rapid heartbeat."
migraine,Migraine,"Migraine is a neurological condition characterized by intense headaches, often accompanied by nausea, sensitivity to light and sound, and visual disturbances. It can last for hours or days."
hand_foot_mouth_disease,"Hand Foot Mouth Disease,Hand-foot-mouth disease is a common viral illness in children causing fever, sore throat, painful mouth sores, and a rash on hands and feet."
food_poisoning,Food Poisoning,"Food poisoning is caused by consuming contaminated food, leading to symptoms like nausea, vomiting, diarrhea, stomach cramps, and fever."
vitamin_c_deficiency,Vitamin C Deficiency,"Vitamin C deficiency (scurvy) leads to fatigue, gum bleeding, joint pain, and poor wound healing. It occurs due to inadequate intake of fruits and vegetables."
calcium_deficiency,Calcium Deficiency,"Calcium deficiency can cause weak bones, muscle cramps, fatigue, and brittle nails. It is often due to poor diet or vitamin D deficiency."
protein_deficiency,Protein Deficiency,"Protein deficiency results in muscle wasting, weakness, fatigue, and slow recovery from illness. It is common in malnutrition."
chickenpox,Chickenpox,"Chickenpox is a viral infection causing itchy rash, fever, fatigue, and fluid-filled blisters. It is common in children."
teething,Teething,"Teething in infants causes gum pain, irritability, drooling, and mild fever as new teeth emerge."
common_allergy,Allergy,"Allergies occur when the immune system reacts to harmless substances, causing sneezing, itching, rash, and watery eyes."
sinusitis,Sinusitis,"Sinusitis is inflammation of the sinuses causing facial pain, nasal congestion, headache, and fever."
bronchitis,Bronchitis,"Bronchitis is inflammation of the bronchial tubes causing cough, mucus production, fatigue, and shortness of breath."
depression,Depression,"Depression is a mental health disorder characterized by persistent sadness, fatigue, loss of interest, and difficulty concentrating."
hypertension,Hypertension,"Hypertension is high blood pressure that may cause headaches, dizziness, and chest pain in severe cases."
hypoglycemia,Hypoglycemia,"Hypoglycemia occurs when blood sugar levels drop too low, causing dizziness, sweating, confusion, and weakness."
