condition,display,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12,symptom_13,symptom_14,symptom_15,symptom_16,symptom_17,severity,red_flags,description
common_cold,Common Cold,runny nose,sneezing,sore throat,congestion,cough,mild fever,watery eyes,fatigue,,,,,,,,,,,low,,A viral infection of the upper respiratory tract. Usually mild and resolves in 7–10 days.
influenza,Influenza (Flu),fever,body aches,fatigue,chills,headache,sudden onset,dry cough,loss of appetite,sweating,,,,,,,,,medium,difficulty breathing|chest pain|confusion|severe vomiting,A contagious respiratory illness caused by influenza viruses. More severe than a cold.
muscle_strain,Muscle Strain,muscle pain,soreness,swelling,limited movement,stiffness,localised pain,worse with movement,tender to touch,recent physical activity,,,,,,,,,low,severe swelling|numbness|inability to bear weight|deformity,Overstretching or tearing of muscle fibres usually from overexertion.
back_pain,Lower Back Pain,back pain,lower back pain,back stiffness,aching back,worse with bending,relieved by lying down,muscle spasm,poor posture,,,,,,,,,low,pain radiating down leg|numbness in legs|loss of bladder control|fever with back pain,Pain in the lumbar region one of the most common musculoskeletal complaints.
anxiety,Anxiety,chest tightness,shortness of breath,racing heart,dizziness,trembling,stressful situation,worry or fear,tingling hands,no physical exertion,,,,,,,,,low,crushing chest pain|pain radiating to arm or jaw|sudden severe symptoms,Physical symptoms triggered by anxiety or stress — very common and manageable.
diabetes,Diabetes,frequent urination,increased thirst,fatigue,blurred vision,slow healing wounds,unexplained weight loss,tingling in hands,frequent infections,,,,,,,,,medium,severe confusion|loss of consciousness|ketoacidosis,A metabolic condition where the body cannot properly process blood glucose.
hypertension,Hypertension,headache,dizziness,blurred vision,chest pain,shortness of breath,nosebleed,facial flushing,,,,,,,,,,,high,severe chest pain|vision loss|sudden numbness|stroke symptoms,High blood pressure that makes the heart work harder and can damage arteries.
asthma,Asthma,shortness of breath,wheezing,chest tightness,cough at night,cough,breathing difficulty,,,,,,,,,,,,,medium,severe breathlessness|lips turning blue|no relief from inhaler,A chronic condition causing the airways to narrow and swell making breathing difficult.
pneumonia,Pneumonia,fever,cough,chest pain,shortness of breath,chills,fatigue,productive cough,,,,,,,,,,,high,severe chest pain|confusion|lips turning blue|very high fever,Infection that inflames the air sacs in one or both lungs which may fill with fluid.
sinusitis,Sinusitis,facial pain,nasal congestion,headache,runny nose,loss of smell,post-nasal drip,cough,,,,,,,,,,,low,vision changes|swelling around eyes|stiff neck,Inflammation of the sinuses causing facial pain and nasal congestion.
bronchitis,Bronchitis,cough,mucus production,fatigue,shortness of breath,mild fever,chest discomfort,wheezing,,,,,,,,,,,low,high fever|chest pain|coughing blood|severe breathlessness,Inflammation of the lining of the bronchial tubes which carry air to and from the lungs.
dengue,Dengue Fever,high fever,severe headache,eye pain,joint pain,muscle pain,rash,nausea,vomiting,,,,,,,,,high,severe abdominal pain|persistent vomiting|bleeding gums|rapid breathing,A mosquito-borne viral disease causing severe flu-like symptoms.
malaria,Malaria,fever,chills,sweating,headache,nausea,vomiting,muscle pain,fatigue,,,,,,,,,high,confusion|seizures|jaundice|difficulty breathing,A life-threatening disease caused by parasites transmitted through infected mosquito bites.
chickenpox,Chickenpox,itchy rash,blisters,fever,tiredness,headache,loss of appetite,,,,,,,,,,,low,bacterial skin infection|pneumonia|neurological symptoms,A highly contagious viral infection causing itchy blister-like rash.
measles,Measles,high fever,cough,runny nose,red eyes,skin rash,koplik spots,sore throat,,,,,,,,,high,difficulty breathing|seizures|confusion,A highly contagious viral disease that can cause serious complications.
typhoid,Typhoid Fever,sustained fever,weakness,stomach pain,headache,diarrhoea,loss of appetite,rash,,,,,,,,,high,intestinal bleeding|perforation|severe confusion,A bacterial infection that can spread throughout the body affecting many organs.
jaundice,Jaundice,yellow skin,yellow eyes,dark urine,pale stool,fatigue,abdominal pain,itching,,,,,,,,,medium,severe abdominal pain|blood in stool|confusion,Yellow discolouration of skin and eyes caused by high bilirubin levels.
arthritis,Arthritis,joint pain,joint swelling,stiffness,reduced range of motion,redness around joint,warmth around joint,fatigue,,,,,,,,,medium,sudden severe joint pain|joint deformity|fever with joint pain,Inflammation of one or more joints causing pain and stiffness.
gastritis,Gastritis,stomach burning,nausea,vomiting,loss of appetite,bloating,belching,indigestion,,,,,,,,,medium,blood in vomit|black stool|severe pain,Inflammation of the stomach lining often caused by H. pylori or NSAIDs.
anemia,Anemia,fatigue,weakness,pale skin,shortness of breath,dizziness,cold hands and feet,irregular heartbeat,headache,,,,,,,,,medium,fainting|chest pain|severe breathlessness,A condition where you lack enough healthy red blood cells to carry oxygen to the body's tissues.
hypothyroidism,Hypothyroidism,fatigue,weight gain,cold intolerance,dry skin,hair loss,constipation,depression,slow heart rate,,,,,,,,,low,,An underactive thyroid gland that doesn't produce enough thyroid hormone.
hyperthyroidism,Hyperthyroidism,weight loss,rapid heartbeat,trembling,excessive sweating,anxiety,heat intolerance,diarrhoea,fatigue,,,,,,,,,medium,severe chest pain|thyroid storm|loss of consciousness,An overactive thyroid that produces too much thyroid hormone.
eczema,Eczema,dry skin,itchy skin,rash,red skin,skin inflammation,cracked skin,scaling,,,,,,,,,low,,A condition that makes the skin red and itchy. Common in children but can occur at any age.
psoriasis,Psoriasis,red patches,silvery scales,dry cracked skin,itching,burning skin,thickened nails,joint swelling,,,,,,,,,low,,A skin disease that causes a rash with itchy scaly patches most commonly on knees elbows trunk and scalp.
hepatitis,Hepatitis,fatigue,yellow skin,dark urine,abdominal pain,loss of appetite,nausea,vomiting,fever,,,,,,,,,high,acute liver failure|bleeding|severe confusion,Inflammation of the liver commonly caused by viral infection.
appendicitis,Appendicitis,severe abdominal pain,pain around navel,pain lower right abdomen,nausea,vomiting,fever,loss of appetite,,,,,,,,,high,rupture symptoms|severe pain spreading,Inflammation of the appendix requiring prompt surgical removal.
kidney_stones,Kidney Stones,severe back pain,flank pain,pain during urination,blood in urine,nausea,vomiting,frequent urination,,,,,,,,,medium,blocked urine flow|infection with stone|fever with flank pain,Hard deposits made of minerals and salts that form inside the kidneys.
gallstones,Gallstones,abdominal pain,pain after meals,nausea,vomiting,indigestion,jaundice,fever,,,,,,,,,medium,severe constant pain|jaundice|fever with chills,Hard deposits that form in the gallbladder often causing pain after fatty meals.
vertigo,Vertigo,spinning sensation,dizziness,nausea,vomiting,balance problems,hearing loss,ringing in ears,,,,,,,,,low,sudden severe headache|double vision|loss of consciousness,A sensation of feeling off balance or that the room is spinning.
depression,Depression,persistent sadness,loss of interest,fatigue,sleep disturbance,appetite changes,difficulty concentrating,feelings of worthlessness,,,,,,,,,medium,suicidal thoughts|self-harm,A mood disorder causing persistent feelings of sadness and loss of interest.
fungal_infection,Fungal Infection,itching,skin rash,scaling,redness,burning sensation,nail discolouration,,,,,,,,,,,low,,Infections caused by fungi that can affect skin nails hair and sometimes internal organs.
iron_deficiency_anemia,Iron Deficiency Anemia,fatigue,tiredness,weakness,dizziness,lightheadedness,low energy,pale skin,shortness of breath,headache,cold hands and feet,irregular heartbeat,poor concentration,brittle nails,craving ice,NaN,NaN,NaN,medium,chest pain|fainting|severe breathlessness,A condition caused by low iron levels leading to reduced oxygen supply in the body.
vitamin_d_deficiency,Vitamin D Deficiency,fatigue,bone pain,muscle weakness,frequent infections,back pain,low mood,hair loss,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,low,bone fractures|severe weakness|mobility issues,A deficiency affecting bone strength and immunity.
otitis_media,Ear Infection,ear pain,fever,irritability,hearing difficulty,fluid drainage,loss of balance,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,medium,high fever|persistent pain|hearing loss,A middle ear infection common in children.
vitamin_b12_deficiency,Vitamin B12 Deficiency,fatigue,weakness,pale skin,dizziness,tingling in hands and feet,poor concentration,memory problems,shortness of breath,lightheadedness,low energy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,medium,vision problems|difficulty walking|severe weakness,A deficiency affecting nerve function and red blood cell production.
dehydration,Dehydration,thirst,dry mouth,fatigue,dizziness,lightheadedness,headache,low urine output,dark urine,weakness,rapid heartbeat,NaN,NaN,NaN,NaN,NaN,NaN,NaN,medium,confusion|fainting|rapid pulse,A condition caused by insufficient fluid levels in the body.
migraine,Migraine,headache,severe headache,nausea,vomiting,sensitivity to light,sensitivity to sound,visual disturbances,dizziness,blurred vision,throbbing pain,NaN,NaN,NaN,NaN,NaN,NaN,NaN,medium,vision loss|confusion|persistent vomiting,A neurological condition causing severe recurring headaches.
hand_foot_mouth_disease,Hand Foot Mouth Disease,fever,sore throat,mouth sores,skin rash,rash on hands,rash on feet,loss of appetite,irritability,fatigue,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,low,dehydration|persistent fever|severe pain,A contagious viral illness common in children.
food_poisoning,Food Poisoning,nausea,vomiting,diarrhea,stomach pain,abdominal cramps,fever,weakness,loss of appetite,dehydration,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,medium,bloody diarrhea|high fever|severe dehydration,A gastrointestinal condition caused by contaminated food.
vitamin_c_deficiency,Vitamin C Deficiency,fatigue,bleeding gums,joint pain,poor wound healing,weakness,skin bruising,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,low,severe bleeding|infection risk|delayed healing,A deficiency affecting skin and immune health.
calcium_deficiency,Calcium Deficiency,muscle cramps,weak bones,fatigue,brittle nails,tingling in fingers,bone pain,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,medium,bone fractures|severe cramps|mobility issues,A condition affecting bone strength.
protein_deficiency,Protein Deficiency,weakness,muscle loss,fatigue,slow healing,swelling,frequent infections,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,medium,severe weakness|edema|immunity loss,A nutritional deficiency affecting muscle and immunity.
chickenpox,Chickenpox,fever,itchy rash,blisters,fatigue,loss of appetite,body aches,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,low,high fever|infection|breathing difficulty,A contagious viral disease common in children.
teething,Teething,gum pain,drooling,irritability,mild fever,loss of appetite,sleep disturbance,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,low,high fever|severe discomfort|feeding issues,A normal developmental process in infants.
common_allergy,Allergy,sneezing,itching,runny nose,watery eyes,skin rash,congestion,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,low,breathing difficulty|severe rash|anaphylaxis,Immune response to allergens.
sinusitis,Sinusitis,facial pain,headache,nasal congestion,runny nose,fever,pressure around eyes,fatigue,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,medium,high fever|vision issues|severe headache,Inflammation of sinus cavities.
bronchitis,Bronchitis,cough,mucus,fatigue,shortness of breath,chest discomfort,wheezing,fever,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,medium,severe breathlessness|blue lips|persistent cough,Inflammation of bronchial tubes.
depression,Depression,sadness,fatigue,loss of interest,sleep problems,poor concentration,low energy,appetite changes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,medium,suicidal thoughts|severe withdrawal|hopelessness,A mental health disorder affecting mood.
hypertension,Hypertension,headache,dizziness,blurred vision,chest pain,fatigue,nosebleeds,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,high,chest pain|vision loss|stroke risk,A condition of elevated blood pressure.
hypoglycemia,Hypoglycemia,dizziness,sweating,confusion,weakness,blurred vision,rapid heartbeat,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,high,loss of consciousness|seizures|severe confusion,Low blood sugar levels.
